rank,id,composite,tier_a_pass,chemotype,site,cnn_pose_F_mean,cnn_pose_F_stdev,cnn_pkd_F,vina_F,selectivity_score,n_site_F_contacts,mmgbsa_de_kcal,boltz_kd_uM,boltz_prob_binder,boltz_ipTM,smiles
24,FM001452_analog_0101,0.3956,True,fragment_FM001452_growing,F,0.8228,0.1387,4.663,-6.35,,,-0.9,3.886,0.255,0.8327,Nc1cccc(OCc2ccccc2S(N)(=O)=O)c1
25,Z795991852_analog_0035,0.3857,True,quinazolinone_triazole_chromene_amide,F,0.5309,0.1215,6.17,-8.13,0.474,9.0,,,,,Cn1c(=O)c2ccccc2n2c(CNC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
26,gen_0052,0.3844,True,novel_BRICS_recombinant,F,0.5359,0.1224,6.331,-7.1,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(-c3csc(N)n3)c2cc1N
27,Z795991852_analog_0009,0.3826,True,quinazolinone_triazole_chromene_amide,F,0.5926,0.1179,5.865,-7.99,0.417,8.0,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)NC(=O)C3Cc4ccccc4O3)nnc12
28,Z795991852_analog_0038,0.382,True,quinazolinone_triazole_chromene_amide,F,0.554,0.1257,6.102,-7.79,0.448,7.0,,,,,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12
29,Z795991852_analog_0085,0.3798,True,quinazolinone_triazole_chromene_amide,F,0.5537,0.1041,6.082,-7.79,0.522,6.0,,,,,Cn1c(=O)c2ccccc2n2c(Oc3cccc(COC4Cc5ccccc5O4)c3)nnc12
30,Z795991852_analog_0027,0.3753,True,quinazolinone_triazole_chromene_amide,F,0.5094,0.1029,6.289,-7.67,0.644,6.0,,,,,Cn1c(=O)c2ccccc2n2c(C(=O)Nc3cccc(OC4Cc5ccccc5O4)c3)nnc12
31,gen_0033,0.3746,True,novel_BRICS_recombinant,F,0.5763,0.1537,5.883,-7.44,,,,,,,COc1cc2nc(-c3cccc(N)c3)nc(C3(C)COC(=O)N3)c2cc1N
32,FM001452_analog_0129,0.3745,False,fragment_FM001452_growing,F,0.8797,0.1589,3.94,-6.02,,,-1.15,3.303,0.2846,0.7695,CS(=O)(=O)c1cccc(COc2cccc(N)c2)c1
33,FM001452_analog_0102,0.3717,False,fragment_FM001452_growing,F,0.8371,0.1336,4.353,-6.27,,,-0.95,14.897,0.3629,0.7927,NC(=O)c1ccccc1COc1cccc(N)c1
34,Z795991852_analog_0041,0.369,True,quinazolinone_triazole_chromene_amide,F,0.5316,0.1058,5.907,-8.5,0.581,7.0,,,,,Cn1c(=O)c2ccccc2n2c(OC(=O)c3cccc(OC4Cc5ccccc5O4)c3)nnc12
35,FM001452_analog_0138,0.3658,False,fragment_FM001452_growing,F,0.8533,0.1026,4.078,-6.33,,,-0.79,7.224,0.3012,0.7636,Nc1cccc(OCc2cccc(CO)c2)c1
