id,smiles,reachability_score,best_reaction,reachable_via,bb1_smiles,bb2_smiles,amide_coupling_match,suzuki_match,buchwald_match,urea_match,thiourea_match,n_alkyl_match,o_alkyl_match
FM001452_analog_0145,Nc1cccc(OCc2cccc(-c3ccccn3)c2)c1,1.0,suzuki_miyaura,"suzuki_miyaura,buchwald_hartwig,o_alkylation",Nc1cccc(OCc2cccc(Br)c2)c1,OB(O)c1ccccn1,0,1,1,0,0,0,1
FM001452_analog_0130,Nc1cccc(OCc2cccc(S(N)(=O)=O)c2)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",NS(=O)(=O)c1cccc(CBr)c1,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
gen_0002,COc1cc2nc(-c3cccc(N)c3)nc(CN3C(=O)c4ccccc4C3=O)c2cc1N,0.745,amide_coupling,"amide_coupling,suzuki_miyaura,buchwald_hartwig,o_alkylation",O=Cc1ccccc1C(=O)O,[H]N(Cc1nc(-c2cccc(N)c2)nc2cc(OC)c(N)cc12)C(=O)c1ccccc1,1,1,1,0,0,0,1
gen_0044,COc1cc2nc(-c3cccc(N)c3)nc(Cc3c(C)noc3C)c2cc1N,0.745,suzuki_miyaura,"suzuki_miyaura,buchwald_hartwig,o_alkylation",COc1cc2nc(Br)nc(Cc3c(C)noc3C)c2cc1N,Nc1cccc(B(O)O)c1,0,1,1,0,0,0,1
FM001452_analog_0140,CCCc1cccc(COc2cccc(N)c2)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",CCCc1cccc(CBr)c1,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
Z795991852_analog_0059,Cn1c(=O)c2ccccc2n2c(Oc3cccc(NC4Cc5ccccc5O4)c3)nnc12,0.745,buchwald_hartwig,"buchwald_hartwig,n_alkylation,o_alkylation",Cn1c(=O)c2ccccc2n2c(Oc3cccc(Br)c3)nnc12,[H]NC1Cc2ccccc2O1,0,0,1,0,0,1,1
FM002150_analog_0068,NS(=O)(=O)c1ccc(COCC(=O)O)cc1,1.0,o_alkylation,o_alkylation,O=C(O)CBr,[H]OCc1ccc(S(N)(=O)=O)cc1,0,0,0,0,0,0,1
gen_0013,COc1cc2nc(-c3cccc(N)c3)nc(Cn3nc(C)sc3=O)c2cc1N,0.745,suzuki_miyaura,"suzuki_miyaura,buchwald_hartwig,o_alkylation",COc1cc2nc(Br)nc(Cn3nc(C)sc3=O)c2cc1N,Nc1cccc(B(O)O)c1,0,1,1,0,0,0,1
Z795991852_analog_0053,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC4Cc5ccccc5O4)c3)nnc12,1.0,suzuki_miyaura,"suzuki_miyaura,n_alkylation,o_alkylation",Cn1c(=O)c2ccccc2n2c(Br)nnc12,OB(O)c1cccc(CNC2Cc3ccccc3O2)c1,0,1,0,0,0,1,1
FM001452_analog_0166,Nc1cccc(OCc2ccc(CO)cc2)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",OCc1ccc(CBr)cc1,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
FM001452_analog_0137,Nc1cccc(OCc2cccc(OCCO)c2)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",OCCOc1cccc(CBr)c1,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
FM001452_analog_0101,Nc1cccc(OCc2ccccc2S(N)(=O)=O)c1,1.0,o_alkylation,"buchwald_hartwig,o_alkylation",NS(=O)(=O)c1ccccc1CBr,[H]Oc1cccc(N)c1,0,0,1,0,0,0,1
Z795991852_analog_0035,Cn1c(=O)c2ccccc2n2c(CNC(=O)c3cccc(C4Cc5ccccc5O4)c3)nnc12,1.0,amide_coupling,"amide_coupling,o_alkylation",O=C(O)c1cccc(C2Cc3ccccc3O2)c1,[H]NCc1nnc2n(C)c(=O)c3ccccc3n12,1,0,0,0,0,0,1
gen_0052,COc1cc2nc(-c3cccc(N)c3)nc(-c3csc(N)n3)c2cc1N,0.85,suzuki_miyaura,"suzuki_miyaura,buchwald_hartwig,o_alkylation",COc1cc2nc(Br)nc(-c3csc(N)n3)c2cc1N,Nc1cccc(B(O)O)c1,0,1,1,0,0,0,1
Z795991852_analog_0009,Cn1c(=O)c2ccccc2n2c(C(=O)NC(=O)C3Cc4ccccc4O3)nnc12,1.0,amide_coupling,"amide_coupling,o_alkylation",Cn1c(=O)c2ccccc2n2c(C(=O)O)nnc12,[H]NC(=O)C1Cc2ccccc2O1,1,0,0,0,0,0,1
