rank,id,smiles,chemotype,primary_site,n_sources,jack_boltz_kd_uM,jack_boltz_prob_binder,onepot_sim_pct,v3_local_rank,v3_scc_rank,v5_g_rank,v1_onepot_rank,orig_F_rank,jack_boltz_rank,site_A_rank,v3_local_vina_min,v3_local_pose,v3_local_pkd,v5_g_vina,v5_g_pose,v5_g_pkd
60,Z795991852_analog_0084,Cn1c(=O)c2ccccc2n2c(-c3cccc(COC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,3,,,,60,56,,,,,29,-8.01,0.6824,6.043,,,
61,Z795991852_analog_0007,O=C(Nc1cccc(NC2Cc3ccccc3O2)c1)C1Cc2ccccc2O1,quinazolinone_chromene_amide,A,3,,,,65,62,,,,,4,-8.36,0.7026,5.47,,,
62,FM001580_analog_0015,NC(=O)c1cccc(OC(F)(F)F)c1C(=O)O,trifluoromethoxy_benzoic,F,3,,,,66,,39,,30,,,-6.3,0.8817,4.419,-4.74,0.8611,4.108
63,Z795991852_analog_0045,Cn1c(=O)c2ccccc2n2c(C(=O)OC3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,A,3,,,,71,53,,,,,25,-8.33,0.6934,5.538,,,
64,gen_0002,COc1cc2nc(-c3cccc(N)c3)nc(CN3C(=O)c4ccccc4C3=O)c2cc1N,novel_BRICS,F,3,,,,75,78,,,51,,,-7.96,0.6613,6.157,,,
65,gen_0008,COc1cc2nc(-c3cccc(N)c3)nc(-c3cnc4[nH]c(=O)n(C)c4c3)c2cc1N,novel_BRICS,A,2,0.266,0.404,,,,,,,1,47,,,,,,
66,gen_0011,COc1cc2nc(-c3cccc(N)c3)nc(C(=O)c3ccc4c(c3)NC(=O)C(C)O4)c2cc1N,novel_BRICS,A,2,0.362,0.608,,,,,,,3,60,,,,,,
67,Z795991852_analog_0024,Cn1c(=O)c2ccccc2n2c(NC(=O)c3cccc(NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,0.482,0.664,56,,8,,,,7,,,,,,,
68,gen_0031,COc1cc2nc(-c3cccc(N)c3)nc(-c3ccc4c(c3)CCC(=O)N4)c2cc1N,novel_BRICS,A,2,0.942,0.565,,,,,,,16,51,,,,,,
69,gen_0023,CCn1cc(Nc2nc(-c3cccc(N)c3)nc3cc(OC)c(N)cc23)cn1,novel_BRICS,A,2,1.129,0.651,,,,,,,20,32,,,,,,
70,Z795991852_analog_0028,Cn1c(=O)c2ccccc2n2c(C(=O)Nc3cccc(NC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,1.592,0.58,,39,,,,,33,,-8.94,0.6478,6.222,,,
71,Z795991852_analog_0029,Cn1c(=O)c2ccccc2n2c(C(=O)NCC3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,2,1.83,0.439,66,,4,,,,41,,,,,,,
72,gen_0040,COc1cc2nc(-c3cccc(N)c3)nc(Nc3cccnc3)c2cc1N,novel_BRICS,A,2,1.845,0.676,,,,,,,43,52,,,,,,
73,gen_0048,COc1cc2nc(-c3cccc(N)c3)nc(-n3cnc(S(N)(=O)=O)c3)c2cc1N,novel_BRICS,A,2,1.946,0.556,,,,,,,48,3,,,,,,
74,Z795991852_analog_0006,Cn1c(=O)c2ccccc2n2c(Nc3cccc(NC(=O)C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,2.152,0.631,,59,,,,,53,,-8.8,0.6195,6.362,,,
75,Z795991852_analog_0082,Cn1c(=O)c2ccccc2n2c(COc3cccc(OC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,2.218,0.549,,,59,,,,54,,,,,,,
76,Z795991852_analog_0015,Cn1c(=O)c2ccccc2n2c(Nc3cccc(OC(=O)C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,A,2,2.258,0.586,,,,,,,58,17,,,,,,
77,gen_0060,COc1cc2nc(-c3cccc(N)c3)nc(-n3nc(C)sc3=O)c2cc1N,novel_BRICS,A,2,2.269,0.635,,,,,,,59,34,,,,,,
78,Z795991852_analog_0079,Cn1c(=O)c2ccccc2n2c(-c3cccc(OC4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,2.317,0.435,,64,,,,,60,,-7.93,0.6882,5.954,,,
79,FM001452_analog_0159,Nc1cccc(OCc2ccc(S(N)(=O)=O)cc2)c1,anilino_benzyl_ether,F,2,2.536,0.294,,,,,,56,66,,,,,,,
80,Z795991852_analog_0076,Cn1c(=O)c2ccccc2n2c(CNCc3cccc(C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,2.806,0.402,,,30,,,,74,,,,,,,
81,gen_0015,COc1cc2nc(-c3cccc(N)c3)nc(-c3nc4cc(C)ccc4[nH]3)c2cc1N,novel_BRICS,F,2,2.873,0.628,,78,,,,,77,,-7.85,0.664,6.13,,,
82,Z795991852_analog_0025,Cn1c(=O)c2ccccc2n2c(C(=O)NC3Cc4ccccc4O3)nnc12,quinazolinone_chromene_amide,F,2,,,51,3,42,,,,,,-7.89,0.7889,5.91,,,
83,Z795991852_analog_0012,Cn1c(=O)c2ccccc2n2c(-c3cccc(CNC(=O)C4Cc5ccccc5O4)c3)nnc12,quinazolinone_chromene_amide,F,2,,,62,9,7,,,,,,-8.35,0.7036,6.562,,,
