cid,status,smiles,pLDDT,pTM,ipTM,ipTM_best,lig_iptm,confidence,confidence_best,affinity_log_kd_uM,affinity_kd_uM,affinity_pkd,affinity_prob_binder,elapsed_s,n_pdbs,n_models,pred_dir
FM002150_analog_0019,ok,CCc1ccccc1COCC(=O)O,0.901,0.9185,0.757,0.757,0.757,0.8722,0.8722,1.116,13.053,4.884,0.2094,86.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0019/boltz_results_FM002150_analog_0019/predictions/FM002150_analog_0019
FM002150_analog_0070,ok,CN(C)Cc1ccc(COCC(=O)O)cc1,0.931,0.8977,0.851,0.851,0.851,0.915,0.915,1.629,42.536,4.371,0.2523,80.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0070/boltz_results_FM002150_analog_0070/predictions/FM002150_analog_0070
FM002150_analog_0078,ok,CC(C)c1ccc(COCC(=O)O)cc1,0.901,0.9208,0.808,0.808,0.808,0.8824,0.8824,0.98,9.55,5.02,0.2464,83.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0078/boltz_results_FM002150_analog_0078/predictions/FM002150_analog_0078
FM002150_analog_0033,ok,O=C(O)COCc1cccc(Cl)c1,0.9123,0.8751,0.6384,0.6384,0.6384,0.8576,0.8576,1.37,23.417,4.63,0.1894,82.1,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0033/boltz_results_FM002150_analog_0033/predictions/FM002150_analog_0033
FM002150_analog_0051,ok,NCc1cccc(COCC(=O)O)c1,0.9206,0.9227,0.8336,0.8336,0.8336,0.9032,0.9032,1.841,69.306,4.159,0.3055,79.6,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0051/boltz_results_FM002150_analog_0051/predictions/FM002150_analog_0051
FM002150_analog_0049,ok,CCCc1cccc(COCC(=O)O)c1,0.912,0.908,0.8139,0.8139,0.8139,0.8924,0.8924,0.969,9.3,5.031,0.2301,79.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0049/boltz_results_FM002150_analog_0049/predictions/FM002150_analog_0049
FM002150_analog_0045,ok,N#Cc1cccc(COCC(=O)O)c1,0.9,0.914,0.7189,0.7189,0.7189,0.8638,0.8638,1.248,17.705,4.752,0.2927,78.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0045/boltz_results_FM002150_analog_0045/predictions/FM002150_analog_0045
FM002150_analog_0001,ok,O=C(O)COCc1ccncc1,0.9096,0.7823,0.6454,0.6598,0.6454,0.8567,0.8567,1.958,90.858,4.042,0.274,78.5,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0001/boltz_results_FM002150_analog_0001/predictions/FM002150_analog_0001
FM002150_analog_0061,ok,O=C(O)COCc1ccc(F)cc1,0.9139,0.9164,0.7239,0.7239,0.7239,0.8759,0.8759,1.328,21.292,4.672,0.1894,79.7,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0061/boltz_results_FM002150_analog_0061/predictions/FM002150_analog_0061
FM002150_analog_0062,ok,O=C(O)COCc1ccc(Cl)cc1,0.9253,0.906,0.7752,0.7752,0.7752,0.8953,0.8953,1.126,13.373,4.874,0.2032,79.9,3,3,TBXT/data/variants/variant2_full_pool_boltz/boltz_runs/FM002150_analog_0062/boltz_results_FM002150_analog_0062/predictions/FM002150_analog_0062
